step,EKF,G-FOLD,PID_Controller,RL_Controller,FTCA,Transformer,FDIR,HTN_Planner,GOAC,SW_Bus,total_ms
0,0.7291999645531178,43.86249999515712,0.22709998302161694,0.029799994081258774,2.815400017425418,0.002900022082030773,0.02889998722821474,0.18339999951422215,0.01810002140700817,0.03370002377778292,48.48970007151365
1,0.3605999518185854,0.09680003859102726,0.24019996635615826,0.024999957531690598,1.6533000161871314,0.003200024366378784,0.02080004196614027,0.15380000695586205,0.2058000536635518,0.02389994915574789,3.2264000037685037
2,0.5760999629274011,0.16359996516257524,0.3418000414967537,0.02750009298324585,1.9229999743402004,0.003200024366378784,0.020600040443241596,0.17389992717653513,0.1996000064536929,0.03090000245720148,3.96459992043674
3,0.6955999415367842,0.2031000331044197,0.5527000175788999,0.06399990525096655,4.291300079785287,0.00500003807246685,0.028000096790492535,0.34840009175240993,0.22029993124306202,0.027099973522126675,7.821800070814788
4,1.0177999502047896,0.1710999058559537,0.497999950312078,0.04980002995580435,6.103200023062527,0.036899931728839874,9.853799943812191,0.5243999185040593,0.377100077457726,0.034800032153725624,19.60269990377128
5,0.6224000826478004,0.16380008310079575,0.4984000697731972,0.07209996692836285,6.626400048844516,0.004500034265220165,0.2288001123815775,0.22599997464567423,0.016200006939470768,0.05889998283237219,9.446099982596934
6,0.35230000503361225,0.14669995289295912,0.26999996043741703,0.02629996743053198,1.7894000047817826,0.006200047209858894,0.3893000539392233,0.18360000103712082,0.010399962775409222,0.02010003663599491,3.63610009662807
7,0.3405000315979123,0.10379997547715902,0.6424000021070242,0.06670004222542048,4.330199910327792,0.005799927748739719,0.19779999274760485,0.36239996552467346,0.012100092135369778,0.027699978090822697,7.283499930053949
8,0.4873999860137701,0.1468999544158578,0.3621999640017748,0.04390010144561529,2.575599937699735,0.002900022082030773,0.11399993672966957,0.15239999629557133,0.008499948307871819,0.01810002140700817,4.755800007842481
9,0.33760000951588154,0.09660003706812859,0.22609997540712357,0.02559996210038662,1.6174999764189124,0.002600019797682762,0.10499998461455107,0.14819996431469917,0.0077999429777264595,0.034800032153725624,3.117999993264675
10,0.4529999569058418,40.08519998751581,0.20300003234297037,0.024399952962994576,1.6003999626263976,0.002700020559132099,0.12740003876388073,0.16379996668547392,0.0074999406933784485,0.016600009985268116,43.08670002501458
11,0.43130002450197935,0.11939997784793377,0.24859991390258074,0.029199989512562752,1.687800046056509,0.003100023604929447,0.12800004333257675,0.1656000968068838,0.00909995287656784,0.020000035874545574,3.362499992363155
12,0.46989996917545795,0.13499998021870852,0.3360999980941415,0.042599975131452084,1.8987000221386552,0.002900022082030773,0.2680000616237521,0.1642999704927206,0.008300063200294971,0.01850002445280552,4.181899945251644
13,0.3179000923410058,0.09590003173798323,0.2172000240534544,0.027000089175999165,1.7202000599354506,0.0030999071896076202,0.12550002429634333,0.16439997125416994,0.008599949069321156,0.018499908037483692,3.212600015103817
14,0.5338999908417463,0.30319998040795326,0.4195999354124069,0.05010003224015236,3.005799953825772,0.003300025127828121,0.11880008969455957,0.1957000931724906,0.009100069291889668,0.018900027498602867,5.646000034175813
15,0.35880005452781916,0.10200007818639278,0.24319998919963837,0.027999980375170708,1.7212999518960714,0.002500019036233425,0.10750000365078449,0.19829999655485153,0.00809994526207447,0.016300007700920105,3.258200013078749
16,0.30159996822476387,0.08780008647590876,0.25050004478543997,0.026899971999228,1.5516000567004085,0.002500019036233425,0.10379997547715902,0.1503999810665846,0.008100061677396297,0.01680001150816679,2.9651999939233065
17,0.29310001991689205,0.08749996777623892,0.21550001110881567,0.02720009069889784,2.083999919705093,0.002800021320581436,0.09999994654208422,0.20549993496388197,0.00879995059221983,0.01650000922381878,3.4524999791756272
18,0.33169996459037066,0.09900005534291267,0.2204999327659607,0.02529995981603861,1.547000021673739,0.002500019036233425,0.10649999603629112,0.14780007768422365,0.007700058631598949,0.027900096029043198,2.930200076662004
19,0.2778000198304653,0.08690007962286472,0.193099956959486,0.023099943064153194,1.5386000741273165,0.0027999049052596092,0.11100003030151129,0.1455999445170164,0.0072999391704797745,0.015300000086426735,2.7959999861195683
20,0.46680006198585033,37.90140000637621,0.19990000873804092,0.024300068616867065,1.7733999993652105,0.002700020559132099,0.09460002183914185,0.14770007692277431,0.007500057108700275,0.017399899661540985,41.25069989822805
21,0.28710009064525366,0.08709996473044157,0.19910000264644623,0.023399945348501205,2.3876000195741653,0.003700028173625469,0.12350000906735659,0.3310000756755471,0.011899974197149277,0.026499968953430653,3.893100074492395
22,0.33169996459037066,0.10950001887977123,0.23669993970543146,0.02819998189806938,1.6361000016331673,0.002600019797682762,0.11350004933774471,0.14579994603991508,0.0072999391704797745,0.015700003132224083,3.120900015346706
23,0.2954000374302268,0.08670007809996605,0.2047000452876091,0.02559996210038662,2.3790999548509717,0.0034999102354049683,0.1385000068694353,0.24369999300688505,0.010500079952180386,0.031200004741549492,3.877400071360171
24,0.48099993728101254,0.1466000685468316,0.23479992523789406,0.026799971237778664,2.7793999761343002,0.004499917849898338,0.19529997371137142,0.2764000091701746,0.009400071576237679,0.12209999840706587,4.814799991436303
25,0.32919994555413723,0.10000006295740604,0.32190000638365746,0.02729997504502535,2.2525000385940075,0.003400025889277458,0.13729999773204327,0.2308000111952424,0.008199946023523808,0.020000035874545574,3.860000055283308
