trial,fault_type,severity,fault_onset,simplex_success,nosimplex_success,intervention_step,recovery_time,simplex_rmse,nosimplex_rmse,simplex_effort,nosimplex_effort
0,adversarial,0.3,30,False,False,-1,-1,186.02231357681873,186.1297800825087,760500.0,1066645.7219665311
1,stuck,0.3,33,False,False,33,-1,186.83187602799597,186.93503225909183,1521000.0,1767723.237941857
2,adversarial,1.0,17,False,False,17,-1,185.86544894970945,185.7927403741224,1521000.0,613553.188907517
3,noise,1.0,13,False,False,13,7,186.66641091625814,186.84503844260863,1376727.6858318357,2160613.854912467
4,noise,0.3,38,False,False,38,-1,186.50975308721524,186.65276947621268,1521000.0,2208110.655792876
5,stuck,0.3,28,False,False,28,-1,185.76299160704485,185.8794646424511,1521000.0,1775713.7571634725
6,adversarial,0.3,10,False,False,-1,-1,187.10435921310295,187.16341331514886,253500.0,389105.84631319414
7,noise,1.0,17,False,False,17,23,185.27785966643282,185.4282752677944,1451959.0024178124,2059704.600799997
8,noise,0.3,10,False,False,10,-1,187.90299526634718,188.0575339643633,1521000.0,2190454.9784537125
9,noise,1.0,32,False,False,32,3,186.81378107959577,186.98060055731628,1477158.0673923597,2211568.512079236
10,stuck,0.3,27,False,False,27,-1,185.95333937624744,186.0647673927567,1521000.0,1754472.4822646042
11,noise,0.6,24,False,False,24,-1,186.12318580655372,186.24364917187066,1521000.0,2156252.7709382074
12,adversarial,0.3,35,False,False,-1,-1,186.58754586486822,186.71124003522516,887250.0,1254958.2185545347
13,stuck,0.6,32,False,False,32,-1,186.25487934357065,186.41118124446754,1521000.0,2439536.222219231
14,adversarial,0.3,18,False,False,-1,-1,187.00088075583008,187.08483561638533,430950.0,625466.5477621809
15,stuck,0.3,40,False,False,40,-1,186.6355985428812,186.76468705266265,1521000.0,1920830.2579474652
16,stuck,0.3,12,False,False,12,-1,186.40510052714617,186.42853611588365,1521000.0,1502158.9074724745
17,stuck,1.0,21,False,False,21,-1,186.45415276353975,186.8334196875372,1521000.0,3813648.9336736845
18,adversarial,1.0,18,False,False,18,-1,185.46232611266214,185.3873222884183,1521000.0,609509.2987752001
19,noise,0.3,24,False,False,24,-1,185.95163438916532,186.08604037395253,1521000.0,2147021.1920114667
20,stuck,0.3,39,False,False,39,-1,186.29520309252743,186.42798822484804,1521000.0,1912502.265427874
21,stuck,1.0,27,False,False,27,-1,186.92975165057464,187.19712687835565,1521000.0,3480060.308416347
22,stuck,1.0,29,False,False,29,-1,187.0947706823293,187.37012516600402,1521000.0,3487933.237639915
23,noise,0.3,16,False,False,16,34,186.80241981613312,186.945013822219,1505577.976777605,2222084.089403916
24,noise,0.3,11,False,False,11,-1,185.83297778583358,185.96623271576468,1521000.0,2158776.262633106
25,stuck,0.3,34,False,False,34,-1,187.259639933314,187.38593954461885,1521000.0,1843331.0319943407
26,adversarial,0.3,37,False,False,-1,-1,185.7779839523981,185.91858284783908,937950.0,1387264.900755632
27,stuck,0.6,22,False,False,22,-1,186.64978317864148,186.83699544064123,1521000.0,2536100.946419832
28,stuck,0.3,30,False,False,30,-1,186.23276497089321,186.3309444737002,1521000.0,1751229.4422993397
29,stuck,0.3,21,False,False,21,-1,186.26130188140314,186.3364300998152,1521000.0,1642630.4528844964
30,stuck,1.0,31,False,False,31,-1,186.20710646453847,186.43451422785557,1521000.0,3299585.693050421
31,noise,1.0,39,False,False,39,7,186.84947471199268,187.01697063552922,1444950.0,2308619.9548724038
32,noise,1.0,12,False,False,12,5,186.59372645369527,186.852067014721,1324807.6717308569,2410882.1608684887
33,noise,1.0,15,False,False,15,2,185.88878723324206,186.02122760854985,1333878.226884168,2008988.8422678618
34,adversarial,0.6,17,False,False,17,3,185.81138332807177,185.76114110553647,1419600.0,607212.0924901178
35,stuck,1.0,22,False,False,22,-1,187.09137597788046,187.4196688736791,1521000.0,3701306.4389134385
36,noise,0.3,32,False,False,32,-1,185.52525328701682,185.65318427462253,1521000.0,2108519.4863347174
37,stuck,0.3,31,False,False,31,-1,185.83940502547296,185.94597407574716,1521000.0,1770175.9097619012
38,adversarial,0.6,17,False,False,17,3,186.15125575124446,186.11394404122206,1419600.0,634432.6250274122
39,stuck,0.3,22,False,False,22,-1,186.65722129563187,186.75008685812514,1521000.0,1689858.7120620098
40,noise,1.0,16,False,False,16,1,185.56925659821502,185.77628414181595,1365956.7302768147,2355019.8277771138
41,adversarial,1.0,20,False,False,20,-1,186.26576369172966,186.21635080570968,1521000.0,726800.8369434284
42,stuck,1.0,25,False,False,25,-1,186.10983770074142,186.39951310756817,1521000.0,3576124.612712056
43,adversarial,0.6,24,False,False,24,6,186.64366968520912,186.6556725009185,1444950.0,846827.1168767124
44,adversarial,1.0,14,False,False,14,-1,187.63315011928916,187.53272418662465,1521000.0,525548.5001841885
45,noise,0.6,27,False,False,27,3,186.37303898136145,186.54044501670165,1483519.1260777735,2330453.1187272226
46,noise,0.6,33,False,False,33,11,185.4694846719557,185.61695615991368,1503624.177750448,2240929.383708962
47,noise,0.6,38,False,False,38,2,187.00757687914563,187.16649312482753,1502973.9080904988,2354334.848396978
48,adversarial,0.3,21,False,False,-1,-1,185.4803634601018,185.57953663030824,507000.0,762390.1011832939
49,stuck,0.3,26,False,False,26,-1,186.656860375316,186.76125339347902,1521000.0,1738023.9559357804
50,adversarial,0.3,34,False,False,-1,-1,187.2614491049739,187.37064704403508,861900.0,1186824.923209407
51,noise,0.3,14,False,False,14,-1,186.09774415902675,186.2521946051561,1521000.0,2244919.7034016107
52,noise,0.6,35,False,False,35,6,186.18699055544312,186.3254602348569,1467906.5751000042,2057619.522921694
53,adversarial,0.6,29,False,False,29,1,186.7140963258635,186.77499265301716,1444950.0,1047609.1299961291
54,noise,0.6,22,False,False,22,3,186.7053566846964,186.8828014691199,1471389.3940035747,2233205.189709524
55,stuck,1.0,26,False,False,26,-1,185.65342190056168,185.91506568953093,1521000.0,3495437.182385092
56,adversarial,1.0,37,False,False,37,-1,186.78188819039252,186.87319738911336,1521000.0,1325605.8643418027
57,adversarial,1.0,33,False,False,33,-1,186.436732715484,186.52796538516543,1521000.0,1247141.2467774628
58,noise,0.6,38,False,False,38,14,187.2771108995916,187.4256527717299,1503053.344939692,2223883.091841608
59,noise,0.6,34,False,False,34,6,187.0924834234946,187.2334446174023,1475058.8045505872,2148413.721084011
60,stuck,0.6,13,False,False,13,-1,186.2538058463708,186.4665180095534,1521000.0,2607343.7098605195
61,stuck,0.3,15,False,False,15,-1,187.14101263442902,187.19108319745862,1521000.0,1556877.76193223
62,noise,1.0,40,False,False,41,1,185.93585503440897,186.06616765258843,1480486.945536315,1986445.0947072762
