t,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,6.351706827942349e-05,7.361835422136854e-10,0.0008377732684183509,0.006351706827942349,7.361835422136855e-08,0.08377732684183509,-8.804395336524136e-09,2.7746572817122228e-08,-1.2214589812224497e-16,-8.804395336524133e-07,2.7746572837398448e-06,0.0
0.02,0.00019055649312000998,2.4047192810460336e-09,0.0025134421725993214,0.01270394248405865,1.668535738832348e-07,0.16756689041809703,-2.8758531987330987e-08,9.650715515618913e-08,-1.4135702755895715e-15,-1.995413665080677e-06,6.876058235811904e-06,2.117582368135751e-28
0.03,0.0003811223839043635,5.176401006235563e-09,0.005027125795162842,0.01905658907843535,2.771681725189529e-07,0.251368362256352,-6.19040142560035e-08,2.0544365297858747e-07,-6.351800406122353e-15,-3.3145482268671707e-06,1.0893649769181352e-05,3.811648262644352e-28
0.04,0.0006352183037019172,8.920703755123153e-09,0.008378945286336734,0.025409591979755373,3.7443027488875905e-07,0.33518194911738913,-1.0667926031360621e-07,3.471791454323636e-07,-1.8298917125495648e-14,-4.477524605759934e-06,1.4173549242585974e-05,1.2705494208814505e-28
0.05,0.0009528499637246322,1.404480707785244e-08,0.012569018514355327,0.03176316600227149,5.124103322729287e-07,0.4190073228018593,-1.6795188515168298e-07,5.400150824286243e-07,-4.477829427884686e-14,-6.127262483806482e-06,1.9283593701596916e-05,1.6517142471458856e-27
0.060000000000000005,0.001334022699994903,2.1354001799771286e-08,0.017597467586078094,0.038117273627027076,7.309194721918847e-07,0.5028449071722768,-2.5534850405428316e-07,7.977582903162528e-07,-9.932969435484368e-14,-8.73966189025632e-06,2.5774320781321537e-05,4.3622196783596466e-27
0.07,0.0017787402417169557,3.0450606224184573e-08,0.02346440924729561,0.04447175417220527,9.096604424413286e-07,0.5866941661217514,-3.6411318727842017e-07,1.1149980490010591e-06,-1.9758863313229996e-13,-1.0876468322404205e-05,3.1723975878817575e-05,1.5204241403214693e-26
0.08,0.002287008508841332,4.2124705922501337e-08,0.03016996528915334,0.05082682671243763,1.1674099698316763e-06,0.6705556041857731,-5.036891866992402e-07,1.5125059042997435e-06,-3.700677633426783e-13,-1.3957599942059179e-05,3.975078551921134e-05,1.7914746834428454e-26
0.09,0.0028588321788630953,5.659036117136949e-08,0.03771425603692657,0.05718236700217632,1.4465655248868153e-06,0.7544290747773225,-6.766331523655926e-07,1.9961927395506507e-06,-6.555209518848879e-13,-1.7294396566584818e-05,4.836868356304499e-05,3.688828485292478e-26
0.09999999999999999,0.0034942162870250015,7.411282525188813e-08,0.04609740369918688,0.06353841081619063,1.7522464080518638e-06,0.8383147662260311,-8.861132542978161e-07,2.5762379665117408e-06,-1.1087527486469608e-12,-2.0948010193118163e-05,5.800452266071702e-05,2.604626312806974e-26
0.10999999999999999,0.004193165507259011,9.506334434172828e-08,0.055319528389310486,0.06989492202340099,2.0950519089840152e-06,0.9222124690123608,-1.1365640371837241e-06,3.25849482574192e-06,-1.7987454769368596e-12,-2.5045078288388523e-05,6.822568593224033e-05,4.230929571535231e-26
